,name,wkn,index,de_ticker,ticker,industry,ISIN
46,Alantra Partners S.A.,911377,ES,DNY,ALNT.MC,Finanzdienstleistungen,ES0126501131
47,Alfa S.A.B. de C.V. Registered Shares Class A o.N.,896720,ES,G4L,ALFAA.MX,Industrie/Mischkonzerne,MXP000511016
48,Almirall S.A.,A0MU8Y,ES,E2Z,ALM.MC,Pharma,ES0157097017
49,Amadeus IT Group S.A.,A1CXN0,ES,AI3A,AMS.MC,IT-Dienstleistungen,ES0109067019
50,America Movil S.A.B. de C.V.,627186,ES,MV9,AMXVF,Telekom,MXP001691213
51,Amper S.A.,870369,ES,APR,AMP.MC,IT-Dienstleistungen,ES0109260531
52,Applus Services S.A.,A112NF,ES,39A,APPS.MC,Dienstleistungen,ES0105022000
53,Atresmedia Corporacion de Medios de Comunicacion S.A.,A0EAK5,ES,YT2A,A3M.MC,Medien,ES0109427734
54,Audax Renovables S.A.,A0HNCA,ES,54F,ADX.MC,Erneuerbare Energien,ES0136463017
55,Azkoyen S.A.,875396,ES,AKK,AZK.MC,Sonstige Technologie,ES0112458312
56,Banco BBVA Argentina S.A.,892998,ES,BDPA,BBAR.BA,Finanzdienstleistungen,ARP125991090
57,Banco Bilbao Vizcaya Argentaria S.A. (BBVA),875773,ES,BOY,BBVA.MC,Finanzdienstleistungen,ES0113211835
58,Banco Bradesco S.A.,896694,ES,BRE,BBDC4.SA,Finanzdienstleistungen,BRBBDCACNPR8
59,Banco de Sabadell S.A.,A0MRD4,ES,BDSB,SAB.MC,Finanzdienstleistungen,ES0113860A34
60,Banco Santander S.A.,858872,ES,BSD2,SAN.MC,Finanzdienstleistungen,ES0113900J37
61,Bankinter S.A.,A0MW33,ES,BAKA,BKT.MC,Finanzdienstleistungen,ES0113679I37
62,Biosearch S.A.,694480,ES,not_found,not_found,not_found,not_found
63,Bradespar S.A.,553173,ES,FXMA,BRAP3.SA,Finanzdienstleistungen,BRBRAPACNOR5
64,Braskem S.A.,164640,ES,BRDA,BRKM5.SA,Chemie,BRBRKMACNPA4
65,Caixabank S.A.,A0MZR4,ES,48CA,CABK.MC,Finanzdienstleistungen,ES0140609019
66,Centrais Eletricas Brasileiras S.A.,899037,ES,L3XA,ELET6.SA,Versorger,BRELETACNPB7
67,Cie Automotive S.A.,A0J2ML,ES,CAD,CIE.MC,Fahrzeuge,ES0105630315
68,Clinica Baviera S.A.,A0MNAP,ES,D9Z,CBAV.MC,Gesundheitswesen,ES0119037010
69,Companhia Energetica de Minas Gerais- CEMIG,899018,ES,CIDA,CMIG4.SA,Versorger,BRCMIGACNPR3
70,Companhia Paranaense Energia Copel,905601,ES,ELPA,CPLE6.SA,Versorger,BRCPLEACNPB9
71,Compania De Distribucion Integral Logista Holdings S.A.U.,A117Q0,ES,5CI,LOG.MC,Logistik/Transport,ES0105027009
72,Corporacion Financiera Alba S.A.,860823,ES,CSV,ALB.MC,Finanzdienstleistungen,ES0117160111
73,Deoleo S.A.,A0ET9G,ES,SC5A,OLE.MC,Nahrungsmittel/Agrar,ES0110047919
74,Distribuidora Internacional de Alimentacion S.A.,A1JBEM,ES,DI6,DIA.MC,Handel/E-Commerce,ES0126775032
75,Ebro Foods S.A.,914506,ES,AZU,EBRO.MC,Nahrungsmittel/Agrar,ES0112501012
76,Elecnor S.A.,A0Q6GA,ES,EK5,ENO.MC,Bau/Infrastruktur,ES0129743318
77,Enagas S.A.,662211,ES,EG4,ENG.MC,Öl/Gas,ES0130960018
78,Ence Energia y Celulosa S.A.,A0MQWE,ES,ENCA,ENC.MC,Holz/Papier,ES0130625512
79,Endesa S.A.,871028,ES,ENA,ELE.MC,Versorger,ES0130670112
80,Ercros S.A.,A0YBXV,ES,CRS1,ECR.MC,Chemie,ES0125140A14
81,Faes Farma S.A.,A0MKAC,ES,FFEA,FAE.MC,Pharma,ES0134950F36
82,Ferrovial S.A.,A0DKZZ,ES,UFG,FER.MC,Bau/Infrastruktur,ES0118900010
83,Fluidra S.A.,A0MZNB,ES,4F1,FDR.MC,Freizeitprodukte,ES0137650018
84,Fomento de Construcciones y Contratas S.A.,883790,ES,FCC,FCC.MC,Bau/Infrastruktur,ES0122060314
85,Gerdau S.A.,909187,ES,GDUB,GGBR4.SA,Eisen/Stahl,BRGGBRACNPR8
86,Grifols S.A.,A2ABUQ,ES,OZTA,GRF.MC,Pharma,ES0171996087
87,Grupo Catalana Occidente S.A.,A0J36C,ES,OCZA,GCO.MC,Finanzdienstleistungen,ES0116920333
